year,place_name,place_type,lat,lon,population,lower_bound,upper_bound,confidence,source_key,methodology,geographic_precision,demographic_precision,notes
1995,Asia & Africa,macroregion,31.5,34.0,4735000,,,high,dellapergola_2001,Published historical demographic estimate; plotted at a schematic regional centroid.,macroregion (schematic centroid),historical estimate,Do not interpret the plotted point as a city or exact center of population.
1995,Americas & Oceania,macroregion,39.0,-84.0,6583000,,,high,dellapergola_2001,Published historical demographic estimate; plotted at a schematic regional centroid.,macroregion (schematic centroid),historical estimate,Do not interpret the plotted point as a city or exact center of population.
2024,Israel,region,31.7,35.0,7153000,,,high,dellapergola_2024,Core Jewish population estimate as of 1 Jan 2024; plotted at a schematic regional centroid.,region (schematic centroid),modern demographic estimate,Regional location is schematic. Israel is shown separately.
2024,North America,region,40.0,-96.0,6700200,,,high,dellapergola_2024,Core Jewish population estimate as of 1 Jan 2024; plotted at a schematic regional centroid.,region (schematic centroid),modern demographic estimate,Regional location is schematic. Israel is shown separately.
2024,Central America & Caribbean,region,19.0,-82.0,58500,,,high,dellapergola_2024,Core Jewish population estimate as of 1 Jan 2024; plotted at a schematic regional centroid.,region (schematic centroid),modern demographic estimate,Regional location is schematic. Israel is shown separately.
2024,South America,region,-23.0,-58.0,302100,,,high,dellapergola_2024,Core Jewish population estimate as of 1 Jan 2024; plotted at a schematic regional centroid.,region (schematic centroid),modern demographic estimate,Regional location is schematic. Israel is shown separately.
2024,Europe,region,50.0,14.0,1309800,,,high,dellapergola_2024,Core Jewish population estimate as of 1 Jan 2024; plotted at a schematic regional centroid.,region (schematic centroid),modern demographic estimate,Regional location is schematic. Israel is shown separately.
2024,Asia excl. Israel,region,32.0,63.0,34400,,,high,dellapergola_2024,Core Jewish population estimate as of 1 Jan 2024; plotted at a schematic regional centroid.,region (schematic centroid),modern demographic estimate,Regional location is schematic. Israel is shown separately.
2024,Africa,region,-5.0,22.0,54100,,,high,dellapergola_2024,Core Jewish population estimate as of 1 Jan 2024; plotted at a schematic regional centroid.,region (schematic centroid),modern demographic estimate,Regional location is schematic. Israel is shown separately.
2024,Oceania,region,-31.0,147.0,124700,,,high,dellapergola_2024,Core Jewish population estimate as of 1 Jan 2024; plotted at a schematic regional centroid.,region (schematic centroid),modern demographic estimate,Regional location is schematic. Israel is shown separately.
